Estação;N;Gumbel;;;;Generalizada de Valores Extremos;;;;;;;;
;;csi;;alpha;;csi;;;alpha;;;kappa;;
;;MOM-L;ML;MOM-L;ML;MOM-L;ML;GEV;MOM-L;ML;GEV;MOM-L;ML;GEV
341010;54;74,463;74,288;22,104;23,759;76,723;76,777;75,072;25,849;24,89;23,863;0,204;0,192;0,067
341018;47;74,42;74,736;21,16;20,053;74,294;74,164;73,826;20,901;19,603;19,394;-0,013;-0,054;-0,088
341027;36;78,996;79,172;24,584;24,781;80,309;80,484;78,882;26,97;25,59;24,676;0,111;0,097;-0,024
341029;29;83,307;82,37;25,299;31,865;88,219;88,68;84,024;32,211;31,73;30,242;0,367;0,381;0,125
341033;17;56,145;56,846;24,208;22,784;56,774;57,119;55,771;25,415;22,999;22,075;0,055;0,022;-0,093
341036;18;65,604;65,575;20,542;22,082;69,442;70,87;65,424;26,013;24,841;22,092;0,355;0,433;-0,015
341037;23;48,341;48,936;21,457;19,222;46,717;47,701;47,718;17,487;18,318;18,322;-0,187;-0,119;-0,117
341038;15;69,234;69,963;22,128;19,986;69,062;68,034;68,646;21,774;18,204;18,693;-0,017;-0,187;-0,123
342002;52;79,194;79,366;17,738;17,484;78,875;79,483;79,099;17,066;17,542;17,4;-0,04;0,013;-0,03
342007;37;78,19;78,688;19,987;17,263;76,584;76,171;76,919;16,003;14,679;15,083;-0,2;-0,298;-0,188
342009;36;76,578;76,562;16,468;17,017;78,302;78,513;76,535;19,312;18,278;17,008;0,209;0,207;-0,003
343001;46;81,307;81,344;17,226;17,998;82,267;82,882;81,625;18,961;18,719;18,027;0,115;0,159;0,032
343003;50;76,636;76,83;20,179;19,722;76,078;76,762;76,38;18,975;19,685;19,544;-0,063;-0,006;-0,045
343004;47;70,299;70,44;18,695;18,611;70,579;70,825;70,167;19,245;18,839;18,501;0,032;0,038;-0,029
